event_key,detected_at,last_seen,person,event,category,momentum,acceleration,spice,risk,youtube_saturation,opportunity,alert,angle,status,tts_forecast_hours,window_state,window_remaining_min,sources,video_count_6h,score_version
story-tyler-shough,2026-09-26T15:20:22.722Z,2026-09-26T15:20:22.722Z,Tyler Shough,Tyler Shough: Watch Jeff Brohm breaks down transfer quarterbacks Tyler Shough and Lincoln Kienholz - Wake Up Barstool,scandal,19,0,5,64,0,21,ARCHIVE,What the Tyler Shough tyler shough: watch jeff brohm breaks down transfer quarterbacks tyler shough and lincoln kienholz - wake up barstool filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,60,news,0,v2
story-jeff-brohm,2026-09-26T15:20:22.722Z,2026-09-26T15:20:22.722Z,Jeff Brohm,Jeff Brohm: Watch Jeff Brohm breaks down transfer quarterbacks Tyler Shough and Lincoln Kienholz - Wake Up Barstool,scandal,19,0,5,64,0,21,ARCHIVE,What the Jeff Brohm jeff brohm: watch jeff brohm breaks down transfer quarterbacks tyler shough and lincoln kienholz - wake up barstool filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,60,news,0,v2
story-luis-arr,2026-09-26T15:20:22.722Z,2026-09-26T15:20:22.722Z,Luis Arr,Luis Arr: trending now,scandal,12,0,0,64,0,17,ARCHIVE,What the Luis Arr luis arr: trending now filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,60,trends,0,v2
story-charles-spencer,2026-09-26T15:20:22.722Z,2026-09-26T15:20:22.722Z,Charles Spencer,"Charles Spencer: Reveals the 1 Regret He Has About His Sister, Princess Diana (Exclusive)",scandal,19,0,0,64,0,19,ARCHIVE,"What the Charles Spencer charles spencer: reveals the 1 regret he has about his sister, princess diana (exclusive) filings actually say — line by line — the other side of the fight",RESEARCH,3.5,unknown,60,news,0,v2
story-brian-urlacher,2026-09-26T14:53:50.644Z,2026-09-26T15:20:22.722Z,Brian Urlacher,"Brian Urlacher: NFL legend Brian Urlacher rips Colin Kaepernick, says protests wouldn't have flown in his locker room",celebrity,23,-2,0,64,3,21,ARCHIVE,The Brian Urlacher story is a proxy fight about something bigger — the other side of the fight,RESEARCH,6,unknown,183,news,1,v2
story-luis-arraez,2026-09-25T00:15:15.462Z,2026-09-26T15:20:22.722Z,Luis Arraez,Luis Arraez: trending now,tech,17,-1,4,64,63,18,ARCHIVE,The Luis Arraez luis arraez: phillies' luis arraez gets nightmare injury update as playoff hopes come to a halt amid struggles story is actually a money story — the other side of the fight,RESEARCH,4.9,closed,0,trends|news,25,v2
story-tim-scott,2026-09-26T13:25:11.401Z,2026-09-26T15:20:22.722Z,Tim Scott,"Tim Scott: NRSC Chair Tim Scott leaves Georgia, North Carolina off his list of top Senate targets",tech,16,0,0,64,0,18,ARCHIVE,"The Tim Scott tim scott: nrsc chair tim scott leaves georgia, north carolina off his list of top senate targets story is actually a money story — the other side of the fight",KEPT,7.5,unknown,185,news,0,v2
story-colin-kaepernick,2026-09-23T17:40:57.564Z,2026-09-26T15:20:22.722Z,Colin Kaepernick,Colin Kaepernick: John Harbaugh gets another chance to consider Colin Kaepernick,scandal,19,-2,0,64,35,16,ARCHIVE,The Colin Kaepernick colin kaepernick: trending now story is actually a money story — the other side of the fight,BOOSTED,7.5,closed,-3879,news|trends,14,v2
story-brian-urlacher-s,2026-09-26T15:02:54.813Z,2026-09-26T15:20:22.722Z,Brian Urlacher's,Brian Urlacher's: Colin Kaepernick Wouldn't Fly On Brian Urlacher's Team | The Craig Carton Show,tech,18,-1,0,64,0,18,ARCHIVE,The Brian Urlacher's brian urlacher's: colin kaepernick wouldn't fly on brian urlacher's team | the craig carton show story is actually a money story — the other side of the fight,RESEARCH,7.5,unknown,283,news,0,v2
story-josh-heupel,2026-09-26T14:53:50.644Z,2026-09-26T15:02:54.813Z,Josh Heupel,Josh Heupel: trending now,scandal,23,11,0,64,18,16,ARCHIVE,The Josh Heupel josh heupel: trending now story is actually a money story — the other side of the fight,BOOSTED,6.6,closed,0,trends|news,7,v2
story-tom-brady,2026-09-26T14:36:09.931Z,2026-09-26T14:36:09.931Z,Tom Brady,Tom Brady: ‘looked like a cancer patient’ during last NFL mistake,celebrity,28,0,0,64,63,17,ARCHIVE,The Tom Brady story is a proxy fight about something bigger — the other side of the fight,RESEARCH,5.3,closed,0,news,25,v2
story-sam-darnold,2026-09-26T14:13:19.036Z,2026-09-26T14:13:19.036Z,Sam Darnold,Sam Darnold: seahawks sam darnold,scandal,25,0,0,64,20,18,ARCHIVE,What the Sam Darnold sam darnold: seahawks sam darnold filings actually say — line by line — the other side of the fight,RESEARCH,3.1,closed,0,trends|news,8,v2
story-hadjar-returns-from,2026-09-26T13:47:52.270Z,2026-09-26T13:47:52.270Z,Hadjar Returns From,Hadjar Returns From: Isack Hadjar Returns From Injury to Outqualify His Teammate Max Verstappen in Baku,tech,19,0,0,64,0,18,ARCHIVE,The Hadjar Returns From hadjar returns from: isack hadjar returns from injury to outqualify his teammate max verstappen in baku story is actually a money story — the other side of the fight,RESEARCH,7.5,unknown,300,news,0,v2
story-jose-fernandez,2026-09-26T13:47:52.270Z,2026-09-26T13:47:52.270Z,Jose Fernandez,Jose Fernandez: trending now,scandal,12,0,0,64,0,17,ARCHIVE,What the Jose Fernandez jose fernandez: trending now filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,60,trends,0,v2
story-jose-fern,2026-09-26T13:47:52.270Z,2026-09-26T13:47:52.270Z,Jose Fern,"Jose Fern: Ten years after Jose Fernández's death, the Marlins and the baseball world as a whole still haven't grappled w",tech,19,0,0,64,0,18,ARCHIVE,"The Jose Fern jose fern: ten years after jose fernández's death, the marlins and the baseball world as a whole still haven't grappled w story is actually a money story — the other side of the fight",RESEARCH,7.5,unknown,300,news,0,v2
story-jeff-passan,2026-09-26T13:47:52.270Z,2026-09-26T13:47:52.270Z,Jeff Passan,"Jeff Passan: Sources Tell Jeff Passan - Remembering José Fernández, 10 Years Later with Christian Yelich & Dee Strange-Gord",scandal,19,0,0,64,0,19,ARCHIVE,"What the Jeff Passan jeff passan: sources tell jeff passan - remembering josé fernández, 10 years later with christian yelich & dee strange-gord filings actually say — line by line — the other side of the fight",RESEARCH,3.5,unknown,60,news,0,v2
story-paul-ricard,2026-09-26T12:43:32.258Z,2026-09-26T12:43:32.258Z,Paul Ricard,"Paul Ricard: Le Castellet (FRA), 17th to 20th September 2026. BMW Motorrad Motorsport, FIM Endurance World Championship FIM",scandal,19,0,0,64,0,19,ARCHIVE,"What the Paul Ricard paul ricard: le castellet (fra), 17th to 20th september 2026. bmw motorrad motorsport, fim endurance world championship fim filings actually say — line by line — the other side of the fight",RESEARCH,3.5,unknown,60,news,0,v2
story-nathan-fielder,2026-09-23T15:07:21.236Z,2026-09-26T11:59:56.175Z,Nathan Fielder,"Nathan Fielder: ‘You Can See Everything’ Trailer: Nathan Fielder Lives With Elizabeth Holmes, Makes Her Cry and Interrogates H",tech,13,0,0,34,48,16,ARCHIVE,"The Nathan Fielder nathan fielder: ‘you can see everything’ trailer: nathan fielder lives with elizabeth holmes, makes her cry and interrogates h story is actually a money story — the other side of the fight",ARCHIVED,4.9,closed,-3989,news,19,v2
